'Ard Case, (Unverified in 7th)Codex: Orks (pg 93)(Source: ??)
Feel No Pain, (Unverified in 7th)When a model with this special rule suffers an unsaved Wound&COMMA it can make a special Feel No Pain roll to avoid being wounded (this is not a saving throw). Roll a D6 each time an unsaved Wound is suffered. On a 4 or less&COMMA you must take the Wound as normal. On a 5+&COMMA the unsaved Wound is discounted - treat it as having been saved.&CRLF&CRLFNot that Feel No Pain rolls cannot be made against unsaved Wounds that inflict Instant Death. &CRLF&CRLFIf a unit has the Feel No Pain special rule with a number in brackets aftwerwards - Feel No Pain (6+)&COMMA for example - then the number in brackets is the D6 result needed to discount the Wound.&CRLF&CRLFIf one or more models in a unit have the Feel No Pain special rule then the Mixed Saves method of Wound allocation should always be used for allocating Wounds and removing casualties from that unit; Feel No Pain rolls should be individually made after each failed save.&CRLF&CRLFFAQ: Feel No Pain can be used to resist a Wound suffered from Perils of the Warp. Eternal Warrior does not allow Feel No Pain to be rolled against Wounds that inflict Instant Death. Force Weapon activation is made before determining whether or not a victim is permitted a Feel No Pain roll. (Source: ??)
Feel No Pain (6+), (Unverified in 7th)Ignore unsaved wounds on a 6+&COMMA treat it as saved wound(Source: ??)
Fighta Ace, (Unverified in 7th)When shooting at jetbikes or vehicles with the skimmer type&COMMA a dakkajet with the fighta Ace upgrade is treated as being Ballistic Skill 3.(Source: ??)
First Amongst Chosen, (Unverified in 7th)In a pirmary detatchment that includes Abbodon&COMMA units of Chosen are troop choices instead of Elite choices.(Source: ??)
Flail, (Unverified in 7th)lf one or more enemy models are in base contact with a model with a Flail weapon at the beginning of the Fight sub-phase&COMMA roll a D3 and subtract the result from the Weapon Skill of those models (to a minimum of 1) for the duration of that phase.(Source: ??)
Fleet, A unit composed  entirely of models with this special rule can re-roll one or more of the dice when determining Run moves and charge ranges.(Source: 40k&COMMA p.0)
Fleshbane, (Unverified in 7th)If a model has this special rule&COMMA or is attacking with a Melee weapon that has this special rule&COMMA they always wound on a 2+.(Source: ??)
Fleshmetal, (Unverified in 7th)Fleshmetal confers a 2+ Armour Save.(Source: ??)
Flip Belt, (Unverified in 7th)They ignore difficult terrain.(Source: ??)
Force, Force weapons are charged by the psychic might of the wielder&COMMA turning them from mere physical tools to mystical weapons of incredible potency. Any Psyker that has one or more weapons with this special rule knows the Force psychic power in addition to any other powers they know: \\ \textbf{Force - Warp Charge 1} The psyker channels his powers through the psi-circuitry of his force weapon&COMMA transforming it from a mere physical weapon into one that can rend reality. Force is a blessing psychic power that targets the Psyker and his unit. All of the targets weapons that have the Force special rule gain the Instant Death special rule until the start of your next Psychic phase.
Forceshield, (Unverified in 7th)A model with a forceshield has a 4+ invulnerable save.(Source: ??)
Fortress of Shields, (Unverified in 7th)Any model with the Inner Circle rule that is in base contact with a two models with this rule gain +1 Toughness(Source: ??)
Furious Charge, (Unverified in 7th)In a turn in which a model with this special rule charges into combat&COMMA it adds +1 to its Strength characteristic until the end of that pase. A model that has made a disordered charge that turn receives no benefit from Furious Charge (see page 27).(Source: 40k Rulebook&COMMA p.37)
Ghosthelm, (Unverified in 7th)If a model with a ghosthelm suffers an unsaved Wound from Perils of the Warp&COMMA he can prevent it by immediately expending a Warp Charge point (if he has one).(Source: Codex Eldar&COMMA p.66)
Ghostwalk matrix, (Unverified in 7th)A vehicle with this upgrade has the Move Through Cover special rule.(Source: ??)
Gift of Mutation, Before deployment&COMMA roll on the Chaos Boon table (pg 29) and mark the result on your army roster. Do not apply any Spawnhood or Dark Apotheosis results; roll again on the table instead. The model has that result for the entire game.(Source: CSM codex pp. 67)
Gift of Prescience, (Unverified in 7th)If your army contains Tigurius&COMMA you can choose to re-roll any Reserve Rolls that apply to units from the same detachment- even successful ones. 
Gitfindas, (Unverified in 7th)ORK FAQ(Source: ??)
Glory Hogs, (Unverified in 7th)They must always attempt to shoot at and/or assault an enemy vehicle if there is one in line of sight&COMMA regardless of range. If there is no visible vehicle target&COMMA the Tankbustas may select a target at normal.(Source: ??)
Goldtoof Armour, (Unverified in 7th)It confers a 3+ armour saving throw&COMMA and also incorporates a force field that gives the Kaptin a 5+ invulnerable save.(Source: ??)
Gorechild, (Unverified in 7th)Kharn's melee attacks always hit on a 2+ (even if they would othenvise hit automatically).(Source: ??)
Grabba Stik, (Unverified in 7th)Codex: Orks (pg 50)(Source: ??)
Grabba Stikk, (Unverified in 7th)Each Assault Phase&COMMA a model with a Grabba Stikk can cause a single model in base contact to lose an Attack&COMMA to a minimum of 1. (Source: Codex Orks pp. 50)
Grabbin' Klaw, (Unverified in 7th)Codex: Orks (pg 92)(Source: ??)
Grand Master of the Deathwing, (Unverified in 7th)In a primary Detachment that contains Belial&COMMA Deathwing Terminator Squads are troops choices instead of elites.(Source: Codex: Dark Angels 6th&COMMA p.92)
Grenade, (Unverified in 7th)Some grenades can be used both in the Shooting phase and the Assault phase&COMMA albeit to different effect. Only one grenade (of any type) can be thrown by a unit per Shooting phase.
Grenade Pack, (Unverified in 7th)Ant time a unit with a grenade pack enters play by Deep Strike and does not suffer a Deep Strike mishap&COMMA nominate one model in the unit immediately after it arrives. That model can make a single special shooting attack in the Movement phase with the profile below - this represents the unit's grenade pack attack. A unit that fires grenade packs in the movement phase can still shoot in the subsequent Shooting phase; however&COMMA it must target the same target unit if possible.(Source: Codex Eldar&COMMA p.66)
Grim Resolve, (Unverified in 7th)A model with this rule has Stubborn. In addition they may never choose to fail a morale check.(Source: Codex: Dark Angels 6th&COMMA p.28)
Grot Gunner (Big Shoota), (Unverified in 7th)BS 3 (Source: ??)
Grot Oiler, (Unverified in 7th)Codex: Orks (pg 34)(Source: ??)
Grot Orderly, (Unverified in 7th)A Grot Orderly allows the Painboy's unit to re-roll a single Feel No Pain roll. Remove the Orderly model once he has been used. Orderly models are purely decorative and are always ignored for game purposes&COMMA just move them to one side if they become a problem.(Source: ??)
Grot Riggers, (Unverified in 7th) When an Ork vehicle takes a hit&COMMA Grots will swarm out of its recesses and repair the damage. An Immobilised Ork vehicle with Grot riggers may roll a dice during the ork shooting phase - on a 4+ the Immobilised result is negated. The vehicle is able to start moving next turn.
Grot-Prod, (Unverified in 7th)Codex: Orks (pg 50)(Source: ??)
HQ Requirement, (Unverified in 7th)This unit may not be used to fulfill the mandatory HQ slot on a Force Org chart.(Source: ??)
HWP, (Unverified in 7th)Platform has it's own toughness and save&COMMA shown in brackets. To do: write the rest of this.
Hallucinogen Grenades, (Unverified in 7th)All models in a unit that contains one more more models with hallucinogen grenades count as being armed with plasma grenades.(Source: ??)
Hammer of Wrath, If a model with this special rule charges and ends its charge move in base contact with one or more enemy models&COMMA it makes one additional Attack that hits automatically and is resolved at the model's unmodified Strength with an AP of -. This Attack is resolved during the Fight sub-phase at the Initiative 10 step. This does not grant the model an additional Pile In move at the Initiative 10 step.&CRLF&CRLFIf a model with this special rule charge a Transport vehicle or building&COMMA the Hammer of Wrath hit is resolved against the Transport vehicle or building&COMMA not the occupants.&CRLF&CRLFFAQ: These attacks do not benefit from any special rules (Furious Charge&COMMA Poisoned&COMMA Rending)&COMMA or any weapons or other wargear.(Source: 40k Rulebook&COMMA p.37)
Hand of Asuryan, (Unverified in 7th)If your primary detachment inclues Asurmen&COMMA he must be your Warlord. When determining Warlord Traits for Asurmen&COMMA he always has D3 traits from the Eldar Warlord Traits table (p 25) - re-roll any duplicates.(Source: Codex Eldar&COMMA p.56)
Hatred, In the far future&COMMA hatred is a powerful ally. This rule is often presented as Hatred (X) where X identifies a specific type of foe. If the special rule does not specify a type of foe&COMMA then the unit has Hatred against everyone. This can refer to a Faction&COMMA or a specific unit. For example&COMMA Hatred (Orks) means any model with the Ork Faction&COMMA whilst Hatred (Big Meks) means only Big Meks. A model striking a hated foe in close combat re-rolls all failed To Hit rolls during the first round of each close combat.
Hatred (Abaddon), (Unverified in 7th)Blood Angels have the Hatred (Abaddon) special rule.(Source: ??)
Hatred Incarnate (Warlord Trait), (Unverified in 7th)The Warlord and his unit have the Hatred special rule.(Source: ??)
Haywire, (Unverified in 7th)When a weapon with this special rule hits a vehicle&COMMA roll a D6 to determine the effect rather than rolling Armour Penetration normally.&CRLF&CRLFD6	Result&CRLF1	No effect&CRLF2-5	Glancing hit&CRLF6	Penetrating hit(Source: 40k Rulebook&COMMA p.37)
Herald of Victory, (Unverified in 7th)A unit that consists entirely of models with this special rule does not scatter when it arrives by Deep Strike.(Source: Codex Eldar&COMMA p.35)
